2026/02/17 15:25:47.221, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 72 %, 4799 MiB, 123.34 W, 69, P2
2026/02/17 15:25:48.223, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 75.80 W, 64, P2
2026/02/17 15:25:48.240, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 72 %, 4799 MiB, 114.16 W, 69, P2
2026/02/17 15:25:49.243, 0, NVIDIA GeForce GTX 1060, 95 %, 66 %, 4871 MiB, 76.95 W, 64, P2
2026/02/17 15:25:49.259, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 72 %, 4799 MiB, 122.54 W, 69, P2
2026/02/17 15:25:50.269, 0, NVIDIA GeForce GTX 1060, 94 %, 66 %, 4871 MiB, 77.37 W, 65, P2
2026/02/17 15:25:50.281, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 36.07 W, 67, P2
2026/02/17 15:25:51.289, 0, NVIDIA GeForce GTX 1060, 94 %, 66 %, 4871 MiB, 77.65 W, 65, P2
2026/02/17 15:25:51.305, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.88 W, 65, P2
2026/02/17 15:25:52.311, 0, NVIDIA GeForce GTX 1060, 94 %, 63 %, 4871 MiB, 73.80 W, 65, P2
2026/02/17 15:25:52.315, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.64 W, 64, P2
2026/02/17 15:25:53.318, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.79 W, 62, P2
2026/02/17 15:25:53.324, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 70 %, 4799 MiB, 120.85 W, 68, P2
2026/02/17 15:25:54.328, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.64 W, 62, P2
2026/02/17 15:25:54.330, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 121.93 W, 69, P2
2026/02/17 15:25:55.332, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.96 W, 61, P2
2026/02/17 15:25:55.334, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 105.12 W, 69, P2
2026/02/17 15:25:56.336, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.95 W, 60, P2
2026/02/17 15:25:56.340, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 110.36 W, 69, P2
2026/02/17 15:25:57.342, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.95 W, 59, P2
2026/02/17 15:25:57.344, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 72 %, 4799 MiB, 117.92 W, 70, P2
2026/02/17 15:25:58.346, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.75 W, 59, P2
2026/02/17 15:25:58.349, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 70 %, 4799 MiB, 115.03 W, 70, P2
2026/02/17 15:25:59.351, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.58 W, 59, P2
2026/02/17 15:25:59.353, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 115.39 W, 70, P2
2026/02/17 15:26:00.355, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.63 W, 58, P2
2026/02/17 15:26:00.358, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 120.24 W, 70, P2
2026/02/17 15:26:01.361, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.63 W, 58, P2
2026/02/17 15:26:01.365, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 71 %, 4799 MiB, 105.31 W, 70, P2
2026/02/17 15:26:02.368, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.47 W, 58, P2
2026/02/17 15:26:02.370, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 107.66 W, 71, P2
2026/02/17 15:26:03.372, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.56 W, 57, P2
2026/02/17 15:26:03.375, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 36.40 W, 68, P2
2026/02/17 15:26:04.377, 0, NVIDIA GeForce GTX 1060, 4 %, 1 %, 4871 MiB, 68.54 W, 58, P2
2026/02/17 15:26:04.384, 1, NVIDIA GeForce GTX 1060 6GB, 15 %, 5 %, 4799 MiB, 122.31 W, 68, P2
2026/02/17 15:26:05.399, 0, NVIDIA GeForce GTX 1060, 93 %, 64 %, 4871 MiB, 73.49 W, 61, P2
2026/02/17 15:26:05.423, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 107.09 W, 70, P2
2026/02/17 15:26:06.425, 0, NVIDIA GeForce GTX 1060, 93 %, 64 %, 4871 MiB, 75.12 W, 61, P2
2026/02/17 15:26:06.430, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 112.58 W, 71, P2
2026/02/17 15:26:07.445, 0, NVIDIA GeForce GTX 1060, 93 %, 64 %, 4871 MiB, 76.14 W, 62, P2
